Nostradamus local server -> http://127.0.0.1:8000
  static root : C:\Users\nicho\Nostradamus_remote_audit
  decisions   : C:\Users\nicho\Nostradamus_remote_audit\data\investor_v3\decisions.json
INFO:     127.0.0.1:51950 - "GET /api/decisions HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "POST /api/retrain HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57990 - "GET / HTTP/1.1" 304 Not Modified
